source,target,strength
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xf27b52d167dabbe0af27c779273ebe8047a88d6f,2.91277837
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x136816e46d5a026164ad7a0cc529a68de0a67f7a,14.865168
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x6d35c3e8d652cf517ecaa2b9b56e7b6758d045a4,56.000189
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x99ca3baaee93d47f73eb6bbfba0819acdd6133c0,306.803716709999
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x742965d484ef14ed58db2bcec49618a55a84c7a3,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xa71fe8e637387ce54acddcf78c22c05ec7009e00,486.42141661
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x2afa6b572c12562321a244f5f03358bb4086436b,7.38698767
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xc6c8cbdc99a8ad06baab40006893ff2ee171089b,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xeb2f1b19ec93e3d41d2a9a2e0c9a07785dc8f6d5,5.01763928
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xebc800a440594437d4a18f7880badc92049338b2,2.78075383
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x55e9771f2028808ebeff8abb3e20e2c493ce9aa7,10.1171684
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x14ee0f1a617b0e98cdb3d2475277ba189880a5bc,12.7002144
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7be454c927b5545848c402662368af91f3af7321,334.18729201
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xa962a730c0988c12a6dd96f8cbf77825bf402ad5,12.97524971
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x88b5fe7e074d8ba72ef22f40d825a624ffed05b0,6.35021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x4d8caa973d84a9b2eda231408584a9f11f5cd97c,38.89601625
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x152e1d8a20c3c9ef85e9cbc5d2f9b6a6a322d18f,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xe35081b5d5164d2d8008d0c64fed31e53feaf633,1.50021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x68451d5737bfbd37e2e67e1cd0b96d712b4c4c2c,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x66abe8439880568576740de23121636b54f51fe8,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7f8fd2285c1037aad0d9d2b6fa50331a24f6fe62,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x68336074e88de35d80a5ba413c499c284a42e58c,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x9e82e4bd9c3fd5c8e588dbd0282c023131a2caa1,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xfe8c0c984c2ad1c26c08512ed1a5852ffe357743,4.00069
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x64fb34fcd0c2f450c9997f1a2686fc70d7a9efb8,72.96963
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x2154151282fd2c58336946be661bfaddf872d30f,42.000189
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x1f086f0c1a1e91d306d9ce3663643f989a719761,37500.00021
0x768fe4f1da90449f3d95bcc5efa9e344bfc5614b,0xfd9dbd7a4952cd0da002d70b498b0ae3e966c06f,0.85957802
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x8bc9142cb8bc7b4a97816122a97cb4f415213d9f,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x5d40f5d030692fad5b9f700823f296006760ddd1,5.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x6919b5b0094de0fb60f21e6c8cf982e129f13350,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x02299cdc9475b23f4a045c5936570c1899759c4f,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xc076a3aba42f2719a8105a43b11f38ab2bd175fb,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x803158ffbb3454d9919fa53a1b56e39379bf3d62,5.31870118
0x52195c59e56bce339b5dc0f317721886ff3fbe28,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,37500
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x2c09d4bc375a07cd210831aacb0d95ee1fc84706,250.000252
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x0e4d72d9d0531d6ede0e007ab332e38565f9341b,37500.00021
0x2afa6b572c12562321a244f5f03358bb4086436b,0xea9f6bbf53b14b5b1b07e3ca347ee1d48b1f742d,7.38681967
0x66abe8439880568576740de23121636b54f51fe8,0x554f4476825293d4ad20e02b54aca13956acc40a,37500
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xbc0c0d80b9442d1e9eb289d493ad44ee19ca075c,25.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7af8a9f597dbf5aeba96a2eb3c73ab71bac4761a,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x83aeeb391e4bedc65cd02fd7b2081516841c54f1,0.11566812
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xe17410e9864a32d29d47e369aadab9041d95563c,7.11847975
0x55e9771f2028808ebeff8abb3e20e2c493ce9aa7,0xddb0628d08cf9e41268eae8556c75039bc4b51cc,10.1169584
0xb43f0157edfdc3af3002b7fb21493abdf6a055fd,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,37500
0x3c5f8b2b93f334f69dce2019825d08e5a3f8b614,0xfa4dbd657c2d52bb6628416c83831b80a7a8861f,19
0xc122ae582cfb8094c65f79221a65942adf157f81,0x5a8ff21a770ce6c184f7cc42f950915e8f1eca6f,98.15815925
0xc0140d5a4a8a33328c798d2251094dcf939c407f,0x7129febb5038d007d21f4c4f8014ca4ec2d97bea,100
0x279060850a58f4bb31877d9853f1fa7d9ac00ead,0xac6b3013e4df807ad10782212b7da805152ec828,41.52125326
0x3e315fbba79b5127b0861c02527fb470d09f69d2,0x367989c660881e1ca693730f7126fe0ffc0963fb,37500
0x4d8caa973d84a9b2eda231408584a9f11f5cd97c,0x7261473ed7d90167bfe7a61728a8462c28d7f2bc,38.89580625
0x26876db8b26414d497e6a6d93f43214df2086dfa,0x6080652cca96d967185942732fa9f955429aaf7a,32.90374435
0xebc800a440594437d4a18f7880badc92049338b2,0x20264a860e5c20bc80c392156aba4f8b89d42997,2.78058583
0x5f7e2de30b88fd974047316301e0dde11c34a803,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,37500
0x7be454c927b5545848c402662368af91f3af7321,0x769001a4bbe1fa153f43d0729d125fc04bd908ea,334.18708201
0x3dfe49e458f7058dbd53e8559b25dd6f3938ae6d,0xbe10d70303a62ffd2afc8035ad79b723d44041b1,0.99979
0x789005aa396557b9e8fd6f8f590d331a5d86d926,0x605c2b6f10fb29c5ebb8dc82616e462445b89c86,8.611614
0xa4972ab11037e3e4d54a5c1b09efb1af02e06022,0x605c2b6f10fb29c5ebb8dc82616e462445b89c86,8.552691
0x50e0b952513f9faf0a681c4618f83b3fae639c6a,0x645c3b383fbee0341ec19df178aa9dc5f01ff53d,2.06083452
0x1c1e26c7bb9a7fda2bd52d4c80b61c318b5d943a,0x8f0d8fda1cb5f0c1b349004042c28e36d505af0e,4.51417217
0x3dfe49e458f7058dbd53e8559b25dd6f3938ae6d,0xa1bff3f41d94e87b5fe7e7d1c4468f234f2028b0,1.000168
0xc6c8cbdc99a8ad06baab40006893ff2ee171089b,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,37500
0x1fc246ebd22342d61d5a773a863c2fb4a7da6e81,0x769001a4bbe1fa153f43d0729d125fc04bd908ea,365.812917989999
0x68451d5737bfbd37e2e67e1cd0b96d712b4c4c2c,0x554f4476825293d4ad20e02b54aca13956acc40a,37500
0xd9f298700425d4d9f8e00f6962863479f3f121fe,0x83adbf2691f67acfcc21db4d74e0f9d9025e8af2,2
0x9df1938f41833123e912a5cc73d36bb2641914cd,0x2ed986620cf0cb7da16fe6b7326ae8c6a5d835e9,146
0x7a57aed3866e3650692b152741ec407a776494f3,0x2fa9f9efc767650aace0422668444c3ff63e1f8d,3750
0x8bc9142cb8bc7b4a97816122a97cb4f415213d9f,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,37500
0xff0a07f8500f206e145614e713925af50bcd80c3,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,37500
0xfe8c0c984c2ad1c26c08512ed1a5852ffe357743,0x21b1df7f590714f15ea8532461624f970194428e,0.890231
0x193b1835df7e5f3253fbf8b94711409773131c93,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,37500
0xf95393a61b6c87d54a0aeeb673f1dcf73b636d85,0x5b361f57bf585f29be16601e4c34163d54090617,4
0x5d40f5d030692fad5b9f700823f296006760ddd1,0x3ce6543e40ff97179bcbbae53afb11fd9e2c4f91,5
0xdfd535da17a60e8189a63484d0660eb7a9bb5d51,0x4d237980b52f93e9c62e6a5e1c783e8892ad760c,4.76031487
0x02299cdc9475b23f4a045c5936570c1899759c4f,0x554f4476825293d4ad20e02b54aca13956acc40a,37500
